Index ,dummyvar1 ,dummyvar2 ,AEROD_V,std,FNET ,std,QRS,std,QRL,std,SCWF,std,LCWF,std,CLDH,std,CLDM,std,CLDL,std,FSNT,std,FLNT,std,SHFLX,std,LHFLX,std,D3,D4,PRECT,std
ind1,-9999,-9999,0.024,0.000,-2.600,0.352,0.036,0.001,-0.039,0.005,-4.89,0.11,0.76,0.15,-0.03,0.33,0.69,0.16,3.19,0.20,-4.188,0.109,-1.588,0.289,-0.100,0.073,-2.128,0.527,-9999,-9999,-0.13,0.03
ind2,-9999,-9999,0.020,0.000,-1.268,0.361,0.021,0.002,-0.028,0.006,-1.91,0.28,-0.78,0.15,-1.08,0.34,-0.89,0.09,1.66,0.16,-1.645,0.240,-0.377,0.240,-0.477,0.156,-0.330,0.240,-9999,-9999,-0.05,0.02
ind3,-9999,-9999,0.020,0.000,-0.797,0.173,0.022,0.001,-0.033,0.003,-1.52,0.20,-0.56,0.13,-0.91,0.02,-0.66,0.13,2.29,0.06,-1.364,0.160,-0.568,0.024,0.313,0.059,-0.834,0.029,-9999,-9999,-0.07,0.01
ind4,-9999,-9999,0.028,0.000,6.680,0.297,0.026,0.001,-0.022,0.004,6.84,0.16,-2.03,0.18,-2.10,0.24,-1.97,0.09,-1.39,0.12,7.555,0.180,0.875,0.194,-0.598,0.068,-3.099,0.154,-9999,-9999,-0.18,0.01
ind5,-9999,-9999,0.017,0.000,8.180,0.227,0.012,0.001,-0.005,0.004,9.61,0.19,-2.86,0.05,-2.45,0.18,-2.21,0.08,-1.92,0.12,10.263,0.236,2.083,0.032,-1.844,0.084,-0.770,0.287,-9999,-9999,-0.06,0.01
ind6,-9999,-9999,0.021,0.000,7.390,0.233,0.022,0.001,-0.004,0.004,7.32,0.31,-1.82,0.15,-1.56,0.19,-1.65,0.11,-1.57,0.14,8.271,0.265,0.881,0.161,-1.796,0.152,-2.856,0.235,-9999,-9999,-0.17,0.03
ind7,-9999,-9999,0.020,0.000,-2.525,0.101,0.031,0.002,-0.036,0.005,-2.70,0.23,-1.55,0.13,-2.08,0.06,-1.86,0.10,4.40,0.16,-2.081,0.201,0.444,0.105,-0.852,0.105,0.732,0.200,-9999,-9999,0.01,0.01
ind8,-9999,-9999,0.013,0.000,3.690,0.076,0.007,0.002,0.001,0.005,3.72,0.21,-1.22,0.15,-0.73,0.14,-0.37,0.19,-1.36,0.12,4.085,0.191,0.395,0.116,-1.880,0.108,-0.684,0.219,-9999,-9999,-0.07,0.01
ind9,-9999,-9999,0.021,0.000,1.323,0.247,0.020,0.001,-0.031,0.005,1.54,0.36,-1.73,0.19,-1.95,0.16,-1.78,0.28,1.24,0.19,1.833,0.368,0.510,0.131,-0.154,0.054,-0.168,0.122,-9999,-9999,-0.04,0.01
ind10,-9999,-9999,0.018,0.000,3.508,0.221,0.018,0.001,-0.008,0.004,2.12,0.17,0.04,0.08,0.15,0.15,0.55,0.06,-0.18,0.11,2.713,0.186,-0.795,0.127,-1.405,0.133,-2.287,0.120,-9999,-9999,-0.16,0.01
