x          gamma      delta      altitude   cldfrc_rhminl   cldopt_rliqocean  hkconv_cmftau  cldfrc_rhminh  zmconv_tau
0 to 1     0 to .99   0 to 40    0 to 39    0.8 to 0.99     8.4 to 19.6       900 to 14400   0.50 to 0.85   1800 to 28800
0.53       0.58      26.66      20.70     0.9024           13.70           10248          0.5782           12965
0.59       0.54      16.22      28.93     0.9091           13.21            7984          0.6590           17938
0.40       0.37      12.39       8.38     0.9145           15.28           11636          0.6248           18951
0.41       0.41      26.79      22.12     0.9495           14.74           10492          0.6939           14408
0.66       0.28      18.11      26.38     0.9270           16.84            3198          0.6924           18130
0.35       0.33      28.47      23.17     0.9293           14.87            4347          0.6684           10678
0.43       0.37      22.43      11.72     0.8606           15.65            5840          0.6887           20258
0.70       0.51      12.19      15.96     0.9303           13.20            3171          0.6150           16276
0.78       0.61      13.97      16.30     0.9130           15.32            8899          0.6873           21277
0.55       0.43      20.02      28.18     0.9233           14.43            5443          0.5836           12777
0.67       0.40       9.23       8.24     0.8507           14.28            7931          0.6322           19659
0.39       0.35      12.55      10.05     0.8687           12.96            5320          0.7491           13678
0.76       0.59      32.88      19.42     0.8832           14.30           10952          0.6716           23524
0.52       0.55      18.27      19.00     0.8722           14.40            9784          0.6217           12903
0.39       0.24      27.31      17.44     0.8899           12.29            5562          0.7979            9953
0.87       0.62      20.19      22.02     0.8880           12.39            5241          0.7205           21086
0.37       0.84      28.08      14.86     0.8974           10.45            6301          0.6379           12303
0.50       0.84      27.53      12.30     0.8712           11.79            9891          0.6484           22665
0.41       0.77       7.63      24.55     0.8420           13.05            8825          0.7301           10522
0.70       0.28      15.36      23.52     0.9420           17.26            9301          0.6870            8279
0.34       0.64      29.43      27.33     0.9230           14.54            4116          0.6051           19036
0.74       0.30      29.83      30.33     0.9385           11.81           10851          0.7196           14195
0.28       0.35      31.33      22.73     0.9069           12.36            4893          0.5541            8915
0.32       0.65      22.58      16.05     0.8352           11.09            6820          0.7995           14257
0.37       0.67      10.46      31.29     0.8786           11.64            7720          0.5936           16195
0.43       0.61      14.97       6.29     0.8655           10.52           11892          0.5539           23849
0.54       0.55       9.71      29.32     0.9289           13.96            7173          0.7894            8570
0.55       0.78      30.68      17.81     0.9033           16.64           11687          0.6530           15183
0.41       0.28      19.24      27.85     0.9380           14.93            6953          0.7733           20470
0.68       0.34      32.96      26.79     0.8522           13.44            7188          0.7152            7754
0.68       0.18      20.85      25.21     0.9057           10.66            6618          0.6463           11417
0.23       0.39      17.61      19.88     0.9414           11.61            2873          0.6363           20732
0.51       0.44      18.60      25.33     0.8781            9.80           12697          0.6779           15726
0.13       0.17      27.64      10.68     0.9092           13.00            8848          0.6109            9134
0.53       0.76      23.97      17.08     0.8323           14.06            3028          0.7166            9370
0.71       0.83      22.87      12.93     0.8379           15.43           11904          0.8026            9494
0.67       0.53      18.83      22.40     0.8912           16.69           11771          0.7931           15796
0.36       0.11      20.55      24.30     0.9550           15.85            5047          0.5862           16417
0.81       0.30      22.85       9.76     0.9201           10.42            2992          0.7180           23367
0.26       0.56      13.46      12.81     0.8711           15.19           12844          0.7461           14483
0.60       0.50      24.99      14.17     0.9662           11.09            7365          0.7771           19199
0.65       0.33       8.80      12.91     0.8520           16.23            3402          0.7559            8728
0.31       0.34      20.95      32.83     0.9378           12.62           11032          0.6193           22938
0.14       0.43      23.26      25.69     0.9283           12.76           11125          0.6508           11010
0.34       0.27      13.11       9.82     0.9172           17.45            2802          0.8067           12533
0.18       0.63      30.79       9.69     0.8206           16.07            7580          0.6750           12287
0.21       0.93      23.37      27.99     0.8989           17.29            5088          0.7335           20966
0.53       0.20      33.10      11.69     0.8875           15.37           10422          0.6625           17234
0.82       0.40      16.92      30.90     0.8733           12.15            3987          0.8156           13798
0.49       0.64      30.14      25.41     0.8435            9.57           10158          0.5713           21413
0.74       0.38      17.31      11.38     0.9017           15.78            5936          0.6498           26958
0.26       0.68      15.64      25.07     0.9051           16.14            5604          0.6520           10799
0.45       0.86      12.62      28.61     0.9648           17.38            9449          0.6079           21750
0.46       0.71      26.99      12.20     0.8803           15.89            3290          0.6967           23705
0.48       0.73      14.46      31.11     0.9001           13.64           12547          0.7099           13579
0.86       0.80      29.53      35.05     0.8456           16.51            8689          0.6475           15935
0.30       0.78      26.20       6.49     0.9467           13.78           10286          0.5998            4908
0.84       0.68      33.40      27.59     0.9315           16.04            5205          0.6642           17570
0.27       0.88      21.62      18.77     0.8426           11.15           10203          0.5345           12682
0.60       0.49      24.04       5.96     0.9645           15.53           10056          0.5977           24919
0.45       0.48      17.51      30.78     0.8583           16.87            9315          0.5303           14069
0.13       0.66       3.38      17.03     0.9524           13.42            5377          0.6306           23125
0.18       0.55      15.87      16.68     0.9512           13.01            5890          0.5047           12412
0.72       0.75      18.87      14.41     0.8511           16.32           12465          0.5695           19326
0.14       0.59      16.52       5.49     0.8949           18.58            4818          0.5368           13839
0.19       0.53       7.32      31.01     0.8933           16.16            9678          0.8297            9316
0.77       0.38      30.05      21.57     0.8554           10.11            7831          0.6990           20794
0.29       0.38      34.91       8.87     0.8869           10.34            5136          0.8165           18232
0.86       0.62      26.57      33.60     0.9161           12.57            8792          0.6523            6315
0.40       0.26      10.08      19.62     0.8642           12.70            8993          0.5851            5912
0.15       0.18      19.05      16.26     0.9445           12.66           10012          0.5705           24645
0.65       0.13      16.43       6.75     0.9072           12.44            9834          0.6892           14373
0.63       0.49      21.30       4.37     0.8693           13.62           11331          0.7487           21584
0.31       0.69      24.77       9.05     0.9479           13.84            4076          0.7620            9742
0.61       0.29      33.63      30.72     0.9028           17.47            8254          0.6120           10472
0.61       0.31       3.18      17.55     0.8943           17.79            2865          0.5740           19752
0.11       0.08      30.22       8.32     0.9633           13.37            3917          0.6699           21977
0.18       0.57       1.86      26.26     0.8702           12.89            4549          0.8058           17416
0.44       0.32      11.86      21.76     0.8401           10.31            5338          0.7882            8412
0.47       0.27      33.54      15.10     0.9483           17.52           10758          0.7138            7933
0.44       0.25      25.30      13.83     0.8282           12.25            9695          0.5628           23174
0.33       0.05      14.40      16.42     0.8912           16.75            9201          0.7580            9877
0.63       0.47      21.23      31.98     0.8789           13.46            6345          0.6139           24295
0.20       0.88      21.49      16.87     0.8956           10.78           10588          0.7271           16356
0.05       0.25      21.38      32.44     0.8924           16.55            5953          0.6445           16698
0.79       0.85      24.37      20.17     0.9580           17.35            3804          0.7647            6271
0.90       0.79       7.95       5.35     0.9281           14.13            7874          0.7188           10967
0.63       0.41      27.83      11.02     0.9174           13.98            5168          0.6090           12507
0.37       0.23       0.47      18.39     0.8412           13.14            6871          0.6159           21823
0.09       0.66      17.83       3.00     0.8669           12.51            8591          0.6853            6689
0.15       0.57      31.54      33.20     0.8628           10.88            2696          0.8185           18319
0.28       0.86      33.33      17.31     0.8360           16.92            4174          0.8446           24838
0.77       0.71      14.57       9.22     0.8558           15.48            3587          0.5381           12155
0.23       0.88      29.83       6.03     0.8936           15.29            7472          0.6038           15457
0.30       0.92      16.31      23.69     0.9186           12.02            2574          0.6722           18633
0.84       0.39       7.07       0.52     0.8592           10.16            9241          0.7584           10174
0.49       0.17       5.94      33.78     0.9272           14.90            6475          0.7542            2548
0.73       0.70      15.27      11.97     0.9490            9.01            7641          0.6310           14571
0.52       0.21      32.34      13.12     0.8951           15.58            2041          0.7657           22602
0.20       0.89       6.90      10.25     0.8660           14.21            5752          0.5663           11291
0.11       0.24      24.22      16.77     0.9249           18.88            4717          0.6837           25790
0.96       0.42      10.74       7.77     0.8167           17.77            7132          0.6293           20184
0.76       0.24      18.01      18.30     0.9434            8.87           10573          0.7040           21867
0.87       0.23      11.08      21.70     0.8684           14.84            8385          0.6768           11615
0.64       0.26      39.74      32.39     0.9181           13.84           13709          0.6081           23876
0.72       0.87      26.88      38.61     0.9880           15.04            1272          0.6653           15856
0.23       0.98      21.98      25.77     0.8483           14.98            7301          0.8319           11541
0.07       0.69      19.60      13.29     0.8354           14.48            5762          0.7115           25537
0.80       0.29      10.66      30.09     0.8486           18.21           11051          0.7605           20927
0.84       0.68      32.49       3.92     0.8367            9.51            7109          0.6228           23464
0.19       0.15       8.13       1.62     0.9042           10.15            6535          0.7252           10888
0.38       0.35      31.69      32.21     0.8602           11.05            1710          0.6027           13010
0.25       0.62      13.84       5.68     0.9501           14.10           12248          0.5463           18841
0.41       0.58      27.19      23.20     0.8231           18.98            6149          0.6349           17149
0.85       0.06      30.43      28.82     0.8338           14.23            8065          0.5766            6524
0.56       0.17      27.97      32.92     0.8198           12.49           13115          0.5076           17465
0.86       0.70      26.39      19.34     0.8841           16.78            7234          0.6456            5143
0.39       0.65      34.14      37.59     0.9360           16.80            5833          0.5955            2642
0.56       0.33      13.67       0.76     0.8077           12.04           11521          0.5871           13712
0.14       0.44       8.02      22.88     0.8041           17.93           10457          0.6995            8050
0.64       0.44       6.72       7.96     0.9106           14.47            3956          0.8106           22510
0.15       0.06      31.98      26.95     0.9108           15.97            8308          0.6631            4667
0.68       0.41      32.22       9.30     0.8184           12.19            3231          0.6787           13100
0.32       0.19      36.41      23.93     0.9371           11.41           13541          0.5579           11677
0.30       0.53       2.37      34.98     0.9320           17.13            7439          0.5673            4277
0.24       0.13      39.19       7.05     0.8745           15.63           10790          0.8231            6371
0.56       0.70       9.42      37.76     0.9766           11.74            6290          0.6234           13389
0.35       0.46      35.41      13.61     0.9561            9.77            9158          0.5249           22138
0.78       0.80      23.69      18.15     0.8750           10.51            3647          0.8175            9090
0.81       0.48      23.87      21.17     0.9761           12.85           10524          0.5510           10074
0.48       0.58      14.69      15.60     0.9505           11.43           13195          0.8320           11778
0.83       0.45       9.59      28.48     0.8798           16.49            2275          0.7266           24587
0.62       0.16      25.82      36.63     0.8261            9.25           11221          0.6977           11831
0.90       0.81      16.91      18.66     0.9683           14.70            6044          0.7417           21334
1.00       0.25      27.70      13.19     0.8306           16.30           11607          0.7230           25292
0.24       0.97      15.89      17.95     0.8982           11.28            3116          0.7825            4517
0.66       0.31      34.34      19.77     0.9062           17.05            1801          0.7428            6458
0.29       0.79       6.76      22.76     0.9587           18.46            1710          0.7456           16124
0.49       0.67      38.75      20.60     0.8759           14.62            6511          0.5566           26639
0.43       0.48       5.49      19.18     0.9336           17.09            9571          0.7221           20087
0.11       0.12      31.88      11.06     0.8257           13.09           12030          0.7400           26141
0.19       0.83      25.38       0.02     0.9334            8.43           12880          0.8333            5703
0.11       0.31      20.28      13.71     0.8663           12.94            2972          0.6668           13253
0.95       0.91       5.31      34.57     0.8922           14.33           10319          0.7402           27469
0.22       0.07       0.97      20.38     0.9402           15.14            3857          0.7517           27377
0.29       0.05       8.56       8.92     0.8818            9.36            8949          0.5332           14795
0.70       0.92      24.88      14.66     0.9390           14.36            6762          0.5057           14909
0.14       0.32       8.65      34.44     0.8372            9.83            5503          0.5817           17377
0.89       0.13      12.88       3.01     0.8283           17.96           14346          0.7687           11929
0.38       0.86      29.04      34.08     0.8335           17.03            7782          0.6756            2957
0.42       0.51      14.19      11.30     0.9570           18.23           13470          0.6678            6744
0.78       0.61       7.46      25.61     0.8675           12.54            2429          0.5475            3261
0.30       0.59      26.09      21.50     0.9259           13.76            9150          0.7214           27229
0.56       0.61      16.03      14.07     0.8252           16.60            7312          0.7951           15578
0.43       0.85      35.88      16.54     0.9636           10.60            3456          0.6575           24173
