Index 	dummyvar1 	dummyvar2 	AEROD_V	std	FNET 	std	QRS	std	QRL	std	SWCF	std	LWCF	std	CLDH	std	CLDM	std	CLDL	std	FSNT	std	FLNT	std	SHFLX	std	LHFLX	std	D3	D4	PRECT	std
ind1 -9999 -9999 0.077 0.000 -3.317 0.202 0.038 0.002 -0.012 0.006 -4.12 0.47 0.74 0.26 -0.05 0.05 0.56 0.28 3.08 0.18 -5.095 0.381 -1.777 0.301 -0.284 0.206 -2.255 0.189 -9999 -9999 -0.14 0.02
ind2 -9999 -9999 0.079 0.000 -2.281 0.220 0.023 0.002 -0.010 0.004 -1.09 0.12 -0.93 0.10 -1.17 0.22 -0.91 0.11 1.52 0.10 -2.648 0.082 -0.366 0.168 -0.488 0.092 -0.479 0.151 -9999 -9999 -0.07 0.00
ind3 -9999 -9999 0.060 0.000 -1.491 0.298 0.025 0.002 -0.015 0.006 -0.95 0.29 -0.59 0.12 -0.85 0.05 -0.68 0.13 2.21 0.15 -2.079 0.303 -0.588 0.153 0.365 0.215 -0.811 0.314 -9999 -9999 -0.07 0.03
ind4 -9999 -9999 0.069 0.000 5.619 0.440 0.030 0.002 0.004 0.005 7.09 0.27 -2.02 0.13 -2.25 0.15 -1.94 0.15 -1.24 0.21 6.543 0.329 0.924 0.245 -0.552 0.155 -3.022 0.200 -9999 -9999 -0.18 0.02
ind5 -9999 -9999 0.084 0.000 6.392 0.172 0.021 0.002 0.001 0.005 9.80 0.14 -2.86 0.05 -2.46 0.23 -2.15 0.16 -1.66 0.05 8.390 0.161 1.997 0.035 -2.095 0.097 -0.418 0.164 -9999 -9999 -0.04 0.01
ind6 -9999 -9999 0.057 0.000 6.666 0.069 0.030 0.002 0.009 0.005 7.56 0.28 -1.73 0.14 -1.46 0.10 -1.53 0.14 -1.48 0.08 7.450 0.162 0.784 0.173 -1.907 0.101 -2.762 0.138 -9999 -9999 -0.17 0.01
ind7 -9999 -9999 0.063 0.000 -3.211 0.228 0.039 0.001 -0.031 0.004 -2.30 0.29 -1.51 0.13 -2.07 0.07 -1.79 0.11 4.28 0.23 -3.022 0.290 0.190 0.068 -0.923 0.050 0.563 0.142 -9999 -9999 -0.00 0.02
ind8 -9999 -9999 0.085 0.000 2.026 0.204 0.011 0.002 0.011 0.006 4.33 0.24 -1.26 0.10 -0.83 0.06 -0.45 0.13 -1.34 0.04 2.454 0.254 0.428 0.088 -1.844 0.111 -0.714 0.138 -9999 -9999 -0.07 0.02
ind9 -9999 -9999 0.098 0.000 -0.336 0.242 0.023 0.002 -0.015 0.004 2.31 0.29 -1.82 0.08 -2.11 0.10 -1.78 0.12 1.21 0.13 0.219 0.240 0.555 0.052 -0.347 0.011 0.058 0.126 -9999 -9999 -0.03 0.01
ind10 -9999 -9999 0.074 0.000 2.285 0.341 0.023 0.002 0.008 0.005 2.55 0.18 0.02 0.14 0.26 0.13 0.49 0.10 -0.11 0.15 1.387 0.186 -0.897 0.227 -1.550 0.163 -2.197 0.145 -9999 -9999 -0.15 0.02
