ind  dTS  dFNET CESS_fsnt CESS_flnt CESS_fnet 
ind1 2.093 -3.944 10.42115 0.50507 0.53080
ind2 2.115 -4.183 3.65062 0.44405 0.50555
ind3 2.089 -4.143 4.58974 0.45433 0.50425
ind4 2.046 -3.756 4.13979 0.48132 0.54465
ind5 2.104 -3.649 1.81696 0.43761 0.57645
ind6 2.070 -3.768 6.72529 0.50786 0.54935
ind7 2.133 -4.125 4.14463 0.45970 0.51705
ind8 2.074 -3.676 2.52530 0.46111 0.56412
ind9 2.129 -4.286 3.05434 0.42730 0.49680
ind10 2.077 -3.840 4.79581 0.48604 0.54086
ind11 2.067 -3.832 2.77832 0.45173 0.53944
ind12 2.087 -3.757 2.48847 0.45414 0.55553
ind13 2.144 -4.393 3.41110 0.42687 0.48793
ind14 2.091 -4.111 12.79136 0.48930 0.50876
ind15 2.123 -4.004 13.13828 0.50967 0.53024
ind16 2.132 -3.694 1.99968 0.44787 0.57713
ind17 2.078 -3.829 4.43381 0.48352 0.54271
ind18 2.079 -3.946 2.51330 0.43548 0.52675
ind19 2.133 -4.090 7.36086 0.48709 0.52161
ind20 2.094 -3.874 -13.90628 0.56245 0.54059
ind21 2.093 -3.853 4.04539 0.47888 0.54318
ind22 2.050 -3.854 7.58114 0.49693 0.53179
ind23 2.064 -4.141 -5.30644 0.54997 0.49833
ind24 2.084 -4.021 3.57236 0.45259 0.51825
ind25 2.105 -4.091 4.67584 0.46356 0.51457
ind26 2.104 -4.096 2.27618 0.41905 0.51360
ind27 2.051 -3.864 -98.85054 0.53372 0.53086
ind28 2.107 -3.960 4.21671 0.47254 0.53217
ind29 2.111 -3.988 3.00276 0.45000 0.52932
ind30 2.062 -4.280 -3.88362 0.54982 0.48164
ind31 2.100 -3.589 6.41863 0.53626 0.58515
ind32 2.094 -3.544 1.55705 0.42826 0.59075
ind33 2.092 -3.925 2.85098 0.44916 0.53316
ind34 2.085 -4.043 -11.57329 0.53977 0.51571
ind35 2.084 -4.254 -47.15410 0.49495 0.48981
ind36 2.084 -4.320 -24.84491 0.49211 0.48255
ind37 2.126 -4.196 4.27152 0.45302 0.50676
ind38 2.089 -3.603 2.56360 0.47291 0.57988
ind39 2.162 -3.935 2.52935 0.45140 0.54947
ind40 2.096 -4.264 12.21774 0.47264 0.49166
ind41 2.100 -3.959 2.99707 0.45072 0.53050
ind42 2.086 -4.166 -23.69887 0.51165 0.50084
ind43 2.096 -3.464 1.88626 0.45818 0.60517
ind44 2.058 -3.804 49.98956 0.53509 0.54088
ind45 2.155 -3.986 3.12041 0.46079 0.54062
ind46 2.171 -4.050 6.62813 0.49584 0.53593
ind47 2.071 -4.109 4.44674 0.45271 0.50402
ind48 2.084 -3.857 4.33864 0.48049 0.54033
ind49 2.025 -3.664 2.86710 0.46341 0.55275
ind50 2.081 -4.053 3.15317 0.44150 0.51338
ind51 2.100 -4.431 3.47260 0.41700 0.47390
ind52 2.083 -3.773 7.16105 0.51255 0.55206
ind53 2.075 -3.695 1.99329 0.43823 0.56173
ind54 2.090 -4.050 3.24469 0.44520 0.51599
ind55 2.137 -3.808 3.47181 0.48302 0.56107
ind56 2.090 -4.394 18.05466 0.46346 0.47567
ind57 2.054 -4.397 -1.84161 0.62598 0.46718
ind58 2.085 -3.938 3.03255 0.45086 0.52960
ind59 2.079 -4.006 8.81266 0.49020 0.51908
ind60 2.127 -3.952 1.98932 0.42362 0.53824
ind61 2.103 -3.882 5.12405 0.48982 0.54159
ind62 2.129 -3.835 2.76763 0.46243 0.55520
ind63 2.079 -3.774 5.19878 0.49798 0.55073
ind64 2.099 -4.270 7.06584 0.45954 0.49151
ind65 2.068 -3.876 4.47187 0.47655 0.53340
ind66 2.069 -3.752 27.23220 0.54060 0.55155
ind67 2.077 -3.792 2.41818 0.44660 0.54777
ind68 2.088 -3.552 1.98118 0.45329 0.58778
ind69 2.081 -4.406 -2.23857 0.59852 0.47226
ind70 2.108 -4.531 -2.39543 0.57746 0.46529
ind71 2.117 -4.211 3.14182 0.43345 0.50281
ind72 2.091 -3.977 4.78556 0.47372 0.52576
ind73 2.077 -4.054 3.31641 0.44381 0.51238
ind74 2.073 -3.733 8.22961 0.52008 0.55516
ind75 2.115 -4.004 20.68943 0.51510 0.52825
ind76 2.086 -3.939 3.39560 0.45815 0.52960
ind77 2.135 -3.491 1.60538 0.44276 0.61138
ind78 2.096 -3.960 2.18974 0.42620 0.52919
ind79 2.063 -3.963 -12.09076 0.54410 0.52067
ind80 2.058 -4.151 -4.16982 0.56253 0.49567
ind81 2.130 -4.091 2.81873 0.43958 0.52080
ind82 2.081 -4.059 -13.27004 0.53324 0.51264
ind83 2.106 -4.175 4.48921 0.45340 0.50434
ind84 2.065 -3.726 2.57871 0.45618 0.55423
ind85 2.099 -4.142 8.60297 0.47865 0.50685
ind86 2.046 -3.941 -6.25504 0.56617 0.51918
ind87 2.116 -3.867 25.91219 0.53580 0.54711
ind88 2.033 -3.611 5.77463 0.51305 0.56308
ind89 2.125 -4.013 2.79724 0.44517 0.52943
ind90 2.102 -4.403 -2.48934 0.59083 0.47750
ind91 2.064 -4.133 2.88015 0.42554 0.49932
ind92 2.074 -4.008 2.46606 0.42772 0.51748
ind93 2.096 -4.019 15.14623 0.50413 0.52149
ind94 2.092 -3.906 4.62141 0.48002 0.53566
ind95 2.140 -3.997 2.61419 0.44442 0.53545
ind96 2.144 -3.967 9.39569 0.51114 0.54054
ind97 2.092 -4.766 -1.72065 0.58939 0.43901
ind98 2.101 -3.695 3.52630 0.48972 0.56870
ind99 2.097 -4.103 2.21813 0.41539 0.51111
ind100 2.072 -3.928 12.76568 0.50665 0.52759
ind101 2.125 -4.155 3.24271 0.44182 0.51151
ind102 2.069 -4.268 3.93502 0.43171 0.48491
ind103 2.101 -3.704 2.53323 0.46345 0.56723
ind104 2.039 -3.876 6.14332 0.48469 0.52620
ind105 2.085 -3.861 2.69159 0.44986 0.54013
ind106 2.104 -3.389 1.82011 0.46298 0.62092
ind107 2.099 -3.932 5.73351 0.48839 0.53387
ind108 2.112 -4.237 3.51532 0.43656 0.49846
